RespondentID,Budget,FTstaff,National/International,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,DistrictofColumbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,NewHampshire,NewJersey,NewMexico,NewYork,NorthCarolina,NorthDakota,Ohio,Oklahoma,Oregon,Pennsylvania,PuertoRico,RhodeIsland,SouthCarolina,SouthDakota,Tennessee,Texas,Utah,Vermont,Virginia,VirginIslands,Washington,WestVirginia,Wisconsin,Wyoming,YearsExp,YearsExpOtherOrgs,EDgender,EDsalary,AdminEntry,AdminMid,AdminSr,CommsEntry,CommsMid,CommsSr,FundraisingEntry,FundraisingMid,FundraisingSr,LandProtectionEntry,LandProtectionMid,LandProtectionSr,StewardshipEntry,StewardshipMid,StewardshipSr,EducationEntry,EducationMid,EducationSr,FinanceEntry,FinanceMid,FinanceSr,LegalEntry,LegalMid,LegalSr,PolicyEntry,PolicyMid,PolicySr,GISEntry,GISMid,GISSr,WageIncreases,COLA,Performancebased,Nonperformancebased,MaternityPaid,MaternityUnpaid,PaternityPaid,PaternityUnpaid,FamilyLeavePaid,FamilyLeaveUnpaid,SabbaticalPaid,SabbaticalUnpaid,VacationFirstYr,VacationFifthYr,SickFirstYr,SickFifthYr,HolidayFirstYr,HolidayFifthYr,PersonalFirstYr,PersonalFifthYr,PTOFirstYr,PTOFifthYr,FlextimeYes,FlextimeNo,TelecommutingYes,TelecommutingNo,TeleworkingYes,TeleworkingNo,EmployeeHealthIns,EmployeeDental,EmployeeLTD,EmployeeSTD,EmployeeLife,GroupPlan,Reimbursement,ChamberofCommerce,OtherAssocPlan,PPO,HMO,POS,SpouseDependentHealth,SpouseDependentDental,SpouseDependentLTD,SpouseDependentSTD,SpouseDependentLife,SpouseDependentPremiumPercent,DomesticPartnerHealth,DomesticPartnerDental,DomesticPartnerLTD,DomesticPartnerSTD,DomesticPartnerLife,DomesticPartnerPremiumPercent,Retirement,403b,SIMPLESEPIRA,401k,PercentContrib,MaxPercentMatch,MaxDollarsMatch,White,BlackAfricanAm,HispanicLatinoSpanishorigin,AmericanIndianAlaskaNative,Asian,MiddleEasternNorthAfrican,NativeHawaiianOtherPacificIslander,Other
6321326644,1200000,9,,,,Arizona,,,Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,New Mexico,,,,,,,,,,,,,,Utah,,,,,,,,24,0,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6386208647,"771,000",11,,Alabama,,,Arkansas,,,,,,Florida,Georgia,,,,,,,,Louisiana,,,,,,Mississippi,,,,,,,,,North Carolina,,,Oklahoma,,,,,South Carolina,,Tennessee,,,,Virginia,,,West Virginia,Wisconsin,,7,4,Male,,,,75000,,,,,,,,,120000,,,55000,,,,,,,,,,,,,,,,Yes,,Performance-based,,Paid,,Paid,,Paid,,,,2,4,1,2,9,9,,,,,Yes,,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Land trust gets its own group plan,,,,PPO,,,Yes,Yes,,,Yes,100,Yes,Yes,,,Yes,100,Yes,403(b) plan,,,4,4,,9,2,,,,,,
6394086828,"4,762,000",39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ohio,,,,,,,,,,,,,,,,,,21,0,Male,"335,000",28000,38522,49789,0,0,55000,50000,65900,135000,0,55170,80662,0,42516,70300,0,0,0,37000,54075,135000,50000,70350,110000,0,0,97555,40000,0,75000,Yes,,Performance-based,,,Unpaid,,,,Unpaid,,,10,16,6,6,10,10,,,,,,No,,No,,No,Yes,Yes,No,No,No,Land trust gets its own group plan,,,,PPO,,,Yes,Yes,No,No,No,0,Don't know,Don't know,No,No,No,,Yes,403(b) plan,,,,,100,37,2,,,,,,
6380261167,"$15,370,565 ",99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pennsylvania,,,,,,,,,,,,,,,10,10,Male,"$307,825 ",32604,0,53871,0,69641,0,64063,72139,140496,33233,48368,65235,0,43337,55458,0,0,0,0,68645,100504,0,0,0,0,0,138836,42338,62209,59002,Yes,,Performance-based,,,,,,Paid,,,,5,20,5,5,10,10,,,,,Yes,,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Land trust gets its own group plan,,,,PPO,,,Yes,Yes,No,No,Yes,85%,Yes,Yes,No,No,Yes,85%,Yes,403(b) plan,,,8,4,,97,1,0,0,0,0,0,1
6365208153,"9,760,000",43,,,,,,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,Male,"307,625",62000,76751,101805,54406,89720,185477,49115,95753,135599,63584,92181,174243,63590,90088,131651,0,0,0,0,131418,231012,0,0,0,0,0,0,59375,77000,0,Yes,,Performance-based,,,Unpaid,,Unpaid,,Unpaid,,,10,20,12,12,12,12,,,,,Yes,,Yes,,,No,Yes,Yes,Yes,Yes,Yes,Land trust gets its own group plan,,,,PPO,HMO,,Yes,Yes,No,No,No,40%,Yes,Yes,No,No,No,40%,Yes,403(b) plan,,,3,6,,32,0,3,0,3,1,0,0
6393976158,"$9,000,000 ",55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,,,,,,,,,,,,,,,,,,,,,27,0,Male,"$260,466 ",,69557,117362,,,83305,43000,58000,79677,66975,70852,110246,45309,63398,85464,,49522,,77250,126072,,,,,53045,75414,84772,,58884,,Yes,,,,Paid,,Paid,,Paid,,,,10,15,10,10,12,12,3,3,,,Yes,,Yes,,,No,Yes,Yes,Yes,Yes,Yes,Land trust gets its own group plan,,,,PPO,,,Yes,Yes,,,Yes,82,Yes,Yes,,,,81,Yes,403(b) plan,,,6,2,,47,5,3,,,,,
6387364170,18200000,47,,,,,,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6.5,Male,"247,339",50451,71461,113453,45000,77985,144017,49387,88702,152154,45000,95590,137067,50000,79664,,,87816,136746,45546,81649,154662,,69044,168062,,,111000,,83265,,Yes,,,,,Unpaid,,Unpaid,,Unpaid,,,15,20,12,12,11,11,,,,,Yes,,Yes,,,,Yes,Yes,Yes,Yes,Yes,Land trust gets its own group plan,,,,PPO,HMO,POS,Yes,Yes,No,No,No,50,Yes,Yes,No,No,No,50,Yes,,,401(k) plan,3,5,,35,2,3,,4,,2,
6351653579,9450000,78,,,,,,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,1.5,Male,"$230,000 ",,,70000,,75000,,,,145000,,,110000,,,90000,,75000,,,,175000,,,,,,,,,120000,Yes,,Performance-based,,Paid,,,Unpaid,Paid,,,Unpaid,10,15,7,7,7,7,1,2,,,Yes,,,No,,No,Yes,Yes,Yes,Don't Know,Yes,Land trust gets its own group plan,,,,PPO,HMO,POS,Yes,Yes,No,No,No,,Yes,Yes,No,No,No,,No,403(b) plan,,,3,5,,36,3,28,2,3,3,3,
6391295194,"$6,000,000 ",45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Washington,,,,25,0,Male,"$225,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6393691024,2700000,12,,,,,,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,1.5,Female,206875,,55000,,,,90000,41600,78000,125000,,,100000,,,65000,,,,,,127200,,,,,,,,,,Yes,,Performance-based,,,Unpaid,,Unpaid,,Unpaid,,Unpaid,15,20,12,12,12,12,,,,,Yes,,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Land trust gets its own group plan,,,,PPO,,,No,No,No,No,No,,No,No,No,No,No,,Yes,403(b) plan,,,0,6,18000,10,,1,,1,,,
